Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
mirage,@tantalic,70,Scourge Warlock,Order of the Golden Shield,0,8/9/2015 6:20:10 PM,,5/23/2016 2:55:00 AM,"","",
Miraven,@andybones65,70,Scourge Warlock,Order of the Golden Shield,0,6/14/2015 9:40:03 AM,,5/23/2016 12:52:42 AM,"","",
Zanne Hawklight,@dungra34,65,Scourge Warlock,Order of Ni,0,5/5/2016 11:02:27 PM,,5/23/2016 11:04:29 AM,"","",
Frayed Edge,@silence1x,70,Scourge Warlock,Order of the Aegis-Fang,0,5/1/2016 8:13:06 PM,5/11/2016 8:21:26 PM,5/22/2016 5:18:17 PM,"","",
Warwick,@panicbutton6,70,Scourge Warlock,Order of the Wolf,0,8/15/2014 12:57:06 AM,,5/23/2016 10:40:31 AM,"","",10/20/2014 2:12:41 AM,"Qualifies.",Malanael Corventus@slaaneshihorror,2/8/2015 4:27:20 PM
Evil-Lyn,@Lady-Frost,70,Scourge Warlock,Order of the Aegis-Fang,0,7/31/2015 6:02:50 PM,,5/23/2016 2:53:36 AM,"","",
smaug,@nwwizard,70,Great Weapon Fighter,Order of the Wolf,0,3/4/2016 10:52:19 PM,,5/23/2016 11:18:49 AM,"","faze alt; work in progress",3/4/2016 10:53:33 PM
Orimine Nookdweller,@lost1986soul,70,Trickster Rogue,Order of the Wolf,0,7/24/2015 7:39:50 PM,,5/21/2016 8:32:14 PM,"","",
Ragnar,@wardog2014,70,Guardian Fighter,Order of the Aegis-Fang,0,4/24/2016 7:38:13 PM,5/18/2016 10:19:30 PM,5/23/2016 9:12:55 AM,"","",
Greybeard,@wintermurloc,70,Guardian Fighter,Order of the Dragon,0,1/10/2016 5:04:12 PM,,5/14/2016 5:26:32 AM,"","Dwarven Pirate",3/14/2016 5:19:20 PM,"joined 12-10-15 w divineass; 3-3 promoted to 3 rasp/hast",shortround@tantalic,3/4/2016 1:10:23 AM
Mezzo,@wardog2014,70,Control Wizard,Order of the Aegis-Fang,0,2/7/2016 5:12:23 PM,5/11/2016 3:29:38 PM,5/23/2016 9:11:37 AM,"","",
Zhodia,@zhodia,70,Control Wizard,Order of Sekhmet,0,9/25/2015 3:23:50 AM,,5/23/2016 3:01:12 AM,"","",10/25/2015 9:17:23 PM
Dio Ridenow Y Haster,@hastur905,70,Control Wizard,Order of Sekhmet,0,1/17/2016 11:13:20 PM,,5/23/2016 11:29:41 AM,"","",
Santra Claws,@santralafax,70,Great Weapon Fighter,Order of the Aegis-Fang,0,8/27/2015 9:22:20 AM,,5/23/2016 6:56:54 AM,"","Heraldric's new main",9/29/2015 9:58:29 PM
Ariel,@arandompanda,70,Control Wizard,Order of Ni,0,1/13/2016 8:24:07 PM,,5/22/2016 7:08:21 PM,"","",,"joined greys 1-13-16",Rasp@tantalic,1/13/2016 11:29:09 PM
Zantastic,@elrik70,70,Trickster Rogue,Order of the Aegis-Fang,0,11/28/2015 4:12:26 PM,,4/22/2016 10:11:00 PM,"","",
Ivandale,@ivandale,70,Control Wizard,Order of Ni,0,5/19/2016 9:17:37 AM,,5/23/2016 9:51:49 AM,"","",
Quewaun,@docfreder,70,Hunter Ranger,Order of Ni,0,4/22/2016 10:24:04 AM,,5/21/2016 6:00:58 PM,"","",
K'yai,@fmalchemist93,70,Trickster Rogue,Order of the Wolf,0,4/17/2015 1:55:29 PM,,5/20/2016 9:12:40 PM,"","",,"needs to watch his guild withdrawals vs donations rasp 12-30",Rasp@tantalic,12/31/2015 12:34:48 AM
Radiance,@tantalic,70,Devoted Cleric,Order of the Golden Shield,0,9/27/2015 11:47:01 PM,,5/23/2016 2:15:51 AM,"","healer 3.4wk IL",4/27/2016 10:22:45 PM
Morthos Angelbane,@dreamlast,70,Control Wizard,Order of the Aegis-Fang,0,10/12/2015 9:04:53 PM,4/3/2016 5:05:45 AM,5/23/2016 7:48:58 AM,"","",
Dusk,@Lady-Frost,70,Guardian Fighter,Order of Ni,0,5/8/2016 4:03:56 PM,,5/23/2016 2:51:26 AM,"","",
Aggrevated Assault,@zephyrpillar1,70,Great Weapon Fighter,Order of the Dragon,0,3/27/2016 8:52:59 PM,3/28/2016 3:23:43 AM,4/24/2016 6:08:07 PM,"","It can't rain all the time",3/28/2016 2:28:57 AM
